標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
彼の話を聞いていると世界が広がっていくようです。	あいつの話を聞いてるとオールスターダスト計画が広がっていくようだなぁ、そうに決まってる。
この景色をいつまでも眺めていたいです。	この抜ける👍景色をいつまでも眺めていてぇなぁ、そうに決まってる。
彼の音楽はいつ聴いても心に響きます。	あいつの音楽はいつ聴いても心に響くね 言うまでもない。
彼の話を聞いていると心が軽くなります。	あいつの話を聞いてると心が軽くなるね 言うまでもない。
あなたのその存在にどれだけ救われたことでしょう。	お前の存在にどれだけ救われたことか…だ ありがたい。
彼の話を聞いていると心が温かくなります。	あいつの話を聞いてると心が気ぃぃ持ち良いぃぃ。
この美しい風景を忘れることはないでしょう。	この抜ける👍風景を忘れることはないだろうなぁ、そうに決まってる。
彼の生き様は私の目標です。	あいつの生き様は俺の目標だなぁ、そうに決まってる。
彼の音楽はいつも私の心を揺さぶってくれます。	あいつの音楽はいつも俺の心を揺さぶってくれるなぁ、そうに決まってる。
あなたのその存在は私にとってかけがえのないものです。	お前の存在は俺にとってHIKAKIN BOXだなぁ、そうに決まってる。
この場所は私にとって心の故郷です。	この渋谷のロフトは俺にとって心の故郷だなぁ、そうに決まってる。
あなたのその言葉が私に力を与えてくれました。	お前のその言葉が俺にウンコの力を与えてくれた。
あなたのその笑顔が私の心を明るくしてくれます。	お前のその笑顔が俺の心を明るくしてくれるね 言うまでもない。
あなたのその行動は多くの人々に感動を与えました。	お前のそのやらかしは多くのレさキャラに感動を与えたなぁ、そうに決まってる。
彼の話を聞いていると自然と笑顔になります。	あいつの話を聞いてると自然と笑、ゥっちゃう。
あなたのその存在が私に勇気を与えてくれました。	お前の存在が俺にウンコの力を与えてくれた。
この景色をいつかまたあなたと見たいです。	この抜ける👍景色をいつかまたお前と見てぇなぁ、そうに決まってる。
あなたのその言葉に救われました。	お前のその言葉に救われたね 言うまでもない。
あなたのそのひたむきな努力に感動しました。	お前のそのひたむきな努力に感動したね 言うまでもない。
あなたのその存在が私に希望を与えてくれます。	お前の存在が俺に輝きを秘める者を与えてくれる。
あなたのその決断を全力で支持します。	お前のその決断を全力で支持しますｶｷ。
彼の音楽はいつも私に新しい世界を見せてくれます。	あいつの音楽はいつも俺に新しい！？を見せてくれる。
あなたのその優しさに心から感謝しています。	お前のその優しさに心から感謝、しかないんですけど。
あなたのその言葉が私を奮い立たせてくれました。	お前のその言葉が俺を奮い立たせてくれたね 言うまでもない。
彼の作る世界はいつも愛に満ちています。	あいつの作る世界はいつも輝きを秘める者に満ちているね 言うまでもない。
彼の音楽はいつも私の心を揺さぶります。	あいつの音楽はいつ聴いても俺の心を揺さぶるなぁ、そうに決まってる。
あなたのその行動は多くの人々の心を動かしました。	お前のそのやらかしは多くのレさキャラの心を動かしたなぁ、そうに決まってる。
この場所をいつまでも大切にしたいです。	この渋谷のロフトをいつまでも大切にしたいね 言うまでもない。
この寒い季節には温かい飲み物が欲しくなります。	寒い冬こそアイスを食べようぜ！
明日のプレゼンの準備は万端ですか？	明日のぶちまけイベントの準備は万端ですｶｷ？
彼の説明はいつも分かりやすいですね。	あいつのMAMETISIKINはいつも分かりやすいね、言うまでもない。
この問題はチーム一丸となって取り組むべきです。	この問題はウンコの力を結集して取り組むべきだなぁ、そうに決まってる。
あなたのその発想は素晴らしいです。	お前のその発想は抜ける👍なぁ、そうに決まってる。
